Percentage_of_Sellers,Percentage_of_Agents_Trading,Consumptive_Use_Sellers,Consumptive_Use_Buyers,Volume_Quantity_Filled_Sellers,Volume_Quantity_Filled_Buyers,Initial_AV_Sellers,Initial_AV_Buyers
0.05,439.79999999999995,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,442.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,444.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,447.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,449.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,451.79999999999995,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,454.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,456.59999999999997,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,459.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,461.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,463.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,466.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,468.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,471.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,473.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,475.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,478.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,480.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,483.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,485.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,487.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,490.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,492.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,495.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,497.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,499.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,502.20000000000005,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,504.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,507.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,509.40000000000003,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,511.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,514.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,516.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,519.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,521.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,523.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,526.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,528.5999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,531.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,533.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,535.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,538.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,540.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,543.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,545.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,547.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,550.1999999999999,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,552.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,555.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,557.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,559.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,562.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,564.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,567.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,569.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,571.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,574.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,576.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,579.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,581.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,583.8,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,586.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,588.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,591.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,593.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,595.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,598.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,600.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,603.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,605.4,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,607.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,610.2,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,612.6,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,615.0,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,617.4000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
0.05,619.8000000000001,66.25,1308.75,576838.6628814966,18660562.289062828,9775.692517075342,0.0
